ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product_importance_encoded,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Gender_M,Cost_per_gram,Discount_percentage,Customer_engagement,Is_expensive,Prior_purchases_category_encoded
1,0.0,2,-0.4512195121951219,0.0,2.0,-0.908269739915901,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.918982152470083,364.44444444444446,0.0,0,2
2,0.0,5,0.024390243902439,-1.0,2.0,-0.3304781186731039,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03642934545186342,195.23809523809524,0.0,1,2
3,-1.0,2,-0.3780487804878049,1.0,2.0,-0.2413954212739448,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.4983476122997732,321.5686274509804,-2.0,0,0
4,-0.5,3,-0.4634146341463415,1.0,0.5,-0.9257125058402118,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.238124456716266,93.18181818181817,-1.5,0,0
5,-1.0,2,-0.3658536585365853,0.0,2.0,-0.5186108082853138,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7599955811916578,315.38461538461536,-2.0,0,2
6,-0.5,1,-0.6341463414634146,0.0,0.8333333333333334,-0.8509577947360224,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.254810510487549,227.7777777777778,-0.5,0,2
7,-0.5,4,0.4390243902439024,0.0,-0.6666666666666666,-0.5538078180968696,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9839356404035243,-46.32768361581921,-2.0,1,2
8,0.0,1,0.2317073170731707,-1.0,2.0,-0.4189378601463946,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.39876512541592846,162.3762376237624,0.0,1,2
9,-0.5,4,-0.7804878048780488,0.0,0.6666666666666666,-0.7126615791932721,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7162667724238223,303.7037037037037,-2.0,0,2
10,-0.5,2,-0.6097560975609756,0.0,2.0,-0.9225977262108706,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.877754330863225,512.5,-1.0,0,2
11,-0.5,4,-0.3048780487804878,-1.0,0.8333333333333334,-0.3927737112599284,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.5020830857192901,119.88304093567253,-2.0,0,2
12,0.0,5,0.2195121951219512,0.0,2.0,-0.2790842547889737,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.304490776599276,164.0,0.0,1,2
13,-0.5,5,-0.1951219512195122,0.0,-1.0,-0.150132378134247,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.2295909929962411,-124.24242424242425,-2.5,0,2
14,0.0,4,0.7439024390243902,0.0,2.0,-0.4818564086590873,1,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4357071118051123,114.6853146853147,0.0,1,2
15,0.0,3,-0.7560975609756098,0.0,2.0,-0.9780408036131444,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-34.43193219166236,820.0000000000001,0.0,0,2
16,0.0,3,0.1585365853658536,0.0,2.0,-0.4491512225510045,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2878041884744546,172.63157894736844,0.0,1,2
