ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product_importance_encoded,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Gender_M
1,0.0,2,-0.4512195121951219,0.0,2.0,-0.908269739915901,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.0,5,0.024390243902439,-1.0,2.0,-0.3304781186731039,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3,-1.0,2,-0.3780487804878049,1.0,2.0,-0.2413954212739448,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,-0.5,3,-0.4634146341463415,1.0,0.5,-0.9257125058402118,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,-1.0,2,-0.3658536585365853,0.0,2.0,-0.5186108082853138,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,-0.5,1,-0.6341463414634146,0.0,0.8333333333333334,-0.8509577947360224,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,-0.5,4,0.4390243902439024,0.0,-0.6666666666666666,-0.5538078180968696,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0.0,1,0.2317073170731707,-1.0,2.0,-0.4189378601463946,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,-0.5,4,-0.7804878048780488,0.0,0.6666666666666666,-0.7126615791932721,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.5,2,-0.6097560975609756,0.0,2.0,-0.9225977262108706,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.5,4,-0.3048780487804878,-1.0,0.8333333333333334,-0.3927737112599284,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,0.0,5,0.2195121951219512,0.0,2.0,-0.2790842547889737,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,-0.5,5,-0.1951219512195122,0.0,-1.0,-0.150132378134247,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0.0,4,0.7439024390243902,0.0,2.0,-0.4818564086590873,1,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15,0.0,3,-0.7560975609756098,0.0,2.0,-0.9780408036131444,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,0.0,3,0.1585365853658536,0.0,2.0,-0.4491512225510045,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.5,4,-0.8658536585365854,-1.0,-0.1666666666666666,-0.9204173804703316,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,0.5,5,0.1585365853658536,0.0,2.0,-0.0613611586980221,1,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
19,0.5,5,0.3048780487804878,0.0,1.8333333333333333,-0.5151845506930385,1,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0
20,0.0,5,-0.8414634146341463,0.0,2.0,-0.9624669054664382,1,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
21,-0.5,3,-0.6463414634146342,-1.0,2.0,-0.8185640865908737,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,-0.5,1,0.2195121951219512,1.0,2.0,-0.389347453667653,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23,-1.0,5,-0.7073170731707317,-1.0,-0.8333333333333334,-0.7472356330789597,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
