ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,D,Flight,0.0,2,-0.45121951219512196,0.0,low,F,2.0,-0.908269739915901,1
2,F,Flight,0.0,5,0.024390243902439025,-1.0,low,M,2.0,-0.3304781186731039,1
3,A,Flight,-1.0,2,-0.3780487804878049,1.0,low,M,2.0,-0.24139542127394487,1
4,B,Flight,-0.5,3,-0.4634146341463415,1.0,medium,M,0.5,-0.9257125058402118,1
5,C,Flight,-1.0,2,-0.36585365853658536,0.0,medium,F,2.0,-0.5186108082853138,1
6,F,Flight,-0.5,1,-0.6341463414634146,0.0,medium,F,0.8333333333333334,-0.8509577947360224,1
7,D,Flight,-0.5,4,0.43902439024390244,0.0,low,F,-0.6666666666666666,-0.5538078180968696,1
8,F,Flight,0.0,1,0.23170731707317074,-1.0,low,F,2.0,-0.41893786014639467,1
9,A,Flight,-0.5,4,-0.7804878048780488,0.0,low,F,0.6666666666666666,-0.7126615791932721,1
10,B,Flight,-0.5,2,-0.6097560975609756,0.0,medium,F,2.0,-0.9225977262108706,1
11,C,Flight,-0.5,4,-0.3048780487804878,-1.0,medium,M,0.8333333333333334,-0.3927737112599284,1
12,F,Flight,0.0,5,0.21951219512195122,0.0,medium,F,2.0,-0.2790842547889737,1
13,D,Flight,-0.5,5,-0.1951219512195122,0.0,medium,F,-1.0,-0.150132378134247,1
14,F,Flight,0.0,4,0.7439024390243902,0.0,high,M,2.0,-0.48185640865908735,1
15,A,Flight,0.0,3,-0.7560975609756098,0.0,low,M,2.0,-0.9780408036131444,1
16,B,Flight,0.0,3,0.15853658536585366,0.0,low,F,2.0,-0.44915122255100454,1
17,C,Flight,-0.5,4,-0.8658536585365854,-1.0,medium,F,-0.16666666666666666,-0.9204173804703317,1
18,F,Ship,0.5,5,0.15853658536585366,0.0,medium,M,2.0,-0.06136115869802212,1
